Nro.,Cód.,Fecha de  toma de muestra,Lugar,Urb/Rural,Especie,Sexo
1,1,2020-09-22,Sahagun,Urbano,Glossophaga soricina,Macho
2,2,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Hembra
3,3,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Macho
4,4,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Macho
5,5,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Hembra
6,6,2020-09-22,Sahagun,Urbano,Phillostomus discolor,Hembra
7,7,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Macho
8,8,2020-09-22,Sahagun,Urbano,Artibeus planirostris,Macho
9,9,2020-09-29,Montelibano,Urbano,Artibeus planirostris,Macho
10,10,2020-09-29,Montelibano,Urbano,Molossus molossus,Macho
11,11,2020-09-29,Montelibano,Urbano,Carollia perspicillata,Macho
12,12,2020-09-29,Montelibano,Urbano,Artibeus lituratus,Hembra
13,13,2020-09-29,Montelibano,Urbano,Carollia perspicillata,Hembra
14,14,2020-09-29,Montelibano,Urbano,Artibeus planirostris,Hembra
15,15,2020-09-29,Montelibano,Urbano,Artibeus planirostris,Macho
16,16,2020-09-29,Montelibano,Urbano,Artibeus planirostris,Macho
17,17,2020-09-29,Montelibano,Urbano,Artibeus planirostris,Macho
18,18,2020-09-29,Montelibano,Urbano,Carollia perspicillata,Hembra
19,19,2020-10-06,Lorica,Urbano,Artibeus planirostris,Macho
20,20,2020-10-06,Lorica,Urbano,Artibeus planirostris,Macho
21,21,2020-10-06,Lorica,Urbano,Sarcopterix leptura,Hembra
22,22,2020-10-06,Lorica,Urbano,Artibeus planirostris,Macho
23,23,2020-10-06,Lorica,Urbano,Glossophaga soricina,Hembra
24,24,2020-10-06,Lorica,Urbano,Artibeus planirostris,Hembra
25,25,2020-10-06,Lorica,Urbano,Glossophaga soricina,Hembra
26,26,2020-10-06,Lorica,Urbano,Artibeus planirostris,Macho
27,27,2020-10-13,Tierralta,Urbano,Artibeus planirostris,Macho
28,28,2020-10-13,Tierralta,Urbano,Molossus molossus,Macho
29,29,2020-10-13,Tierralta,Urbano,Molossus molossus,Macho
30,30,2020-10-13,Tierralta,Urbano,Molossus molossus,Macho
31,31,2020-10-13,Tierralta,Urbano,Molossus molossus,Macho
32,32,2020-10-13,Tierralta,Urbano,Artibeus planirostris,Hembra
33,33,2020-10-13,Tierralta,Urbano,Phillostomus discolor,Macho
34,43,2020-10-13,Tierralta,Urbano,Artibeus planirostris,Macho
35,44,2020-10-13,Tierralta,Urbano,Artibeus planirostris,Macho
36,45,2020-10-13,Tierralta,Urbano,Carollia perspicillata,Macho
37,46,2020-10-20,Planeta Rica,Urbano,Myotis nigricans,Hembra
38,47,2020-10-20,Planeta Rica,Urbano,Artibeus planirostris,Hembra
39,48,2020-10-20,Planeta Rica,Urbano,Glossophaga soricina,Hembra
40,49,2020-10-20,Planeta Rica,Urbano,Artibeus planirostris,Hembra
41,50,2020-10-20,Planeta Rica,Urbano,Artibeus planirostris,Hembra
42,51,2020-11-06,San Antero,Urbano,Phillostomus discolor,Macho
43,52,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
44,53,2020-11-06,San Antero,Urbano,Phillostomus discolor,Macho
45,54,2020-11-06,San Antero,Urbano,Phillostomus discolor,Hembra
46,55,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
47,56,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
48,57,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
49,58,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
50,59,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
51,60,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
52,61,2020-11-06,San Antero,Urbano,Glossophaga soricina,Hembra
53,62,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
54,63,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
55,64,2020-11-06,San Antero,Urbano,Artibeus lituratus,Macho
56,65,2020-11-06,San Antero,Urbano,Phillostomus discolor,Macho
57,66,2020-11-06,San Antero,Urbano,Artibeus lituratus,Macho
58,67,2020-11-06,San Antero,Urbano,Phillostomus discolor,Macho
59,68,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
60,69,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
61,70,2020-11-06,San Antero,Urbano,Artibeus planirostris,Hembra
62,71,2020-11-06,San Antero,Urbano,Desmodus rotundus,Macho
63,72,2020-11-06,San Antero,Urbano,Artibeus planirostris,Macho
64,73,2020-11-06,San Antero,Urbano,Desmodus rotundus,Macho
65,74,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
66,75,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
67,76,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
68,77,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
69,78,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
70,79,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
71,80,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
72,81,2020-11-10,Cerete,Urbano,Sturnira lilium,Macho
73,82,2020-11-10,Cerete,Urbano,Saccopteryx leptura,Macho
74,83,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
75,84,2020-11-10,Cerete,Urbano,Phillostomus discolor,Macho
76,85,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
77,86,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
78,87,2020-11-10,Cerete,Urbano,Artibeus planirostris,Macho
