CODIGO IIBT,ID DEL ANIMAL ,ESPECIE,SEXO,MESES,EDAD MESES (1= (0-12); 2= (13-36); 3= (37-72); 4= (73-108); 5= (>109); 0= NI,MUNICIPIO,DIRECCIÓN,BARRIO,COMUNA/BARRIO/MUNICIPIO,RESULTADO PCR
D01,TOM,FELINO,M,3,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D02,MARIA PAULA,FELINO,H,48,3,Sahagun,NR,NR,Sahagun,NEGATIVO
D03,ALEJANDRA,FELINO,H,3,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D04,CHARLOTE,FELINO,H,132,5,Sahagun,NR,NR,Sahagun,NEGATIVO
D05,GATO 12,FELINO,H,6,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D06,GATO 13,FELINO,H,8,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D07,GATO 14,FELINO,M,NR,0,Sahagun,NR,NR,Sahagun,NEGATIVO
D08,PERRO 15,CANINO,M,NR,0,Sahagun,NR,NR,Sahagun,NEGATIVO
D09,GATO 16,FELINO,H,36,2,Sahagun,NR,NR,Sahagun,NEGATIVO
D10,ROCKY,CANINO,M,4,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D11,PELUSA,FELINO,H,3,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D12,TONTIN,FELINO,M,72,3,Sahagun,NR,NR,Sahagun,NEGATIVO
D13,CHARLY,FELINO,M,9,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D14,NEEKO,FELINO,M,12,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D15,MISIFU,FELINO,M,8,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D16,MONO,FELINO,M,1,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D17,NANKO,CANINO,M,12,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D18,CATALINA,FELINO,H,4,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D19,GLORIA,FELINO,H,48,3,Sahagun,NR,NR,Sahagun,NEGATIVO
D20,JANSEL,FELINO,H,5,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D21,KRATOS,FELINO,M,9,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D22,STEVE JOBS,CANINO,M,60,3,Sahagun,NR,NR,Sahagun,NEGATIVO
D23,PELUSA,FELINO,M,24,2,Sahagun,NR,NR,Sahagun,NEGATIVO
D24,BRUNO,CANINO,M,6,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D25,SR GATO,FELINO,M,6,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D26,PRECIOSA,FELINO,H,36,2,Sahagun,NR,NR,Sahagun,NEGATIVO
D27,COKY,FELINO,M,36,2,Sahagun,NR,NR,Sahagun,NEGATIVO
D28,ATENEA,FELINO,H,3,1,Sahagun,NR,NR,Sahagun,NEGATIVO
D29,LILIAN,FELINO,H,4,1,Sahagun,NR,NR,Sahagun,NEGATIVO
DM1,GATO40,FELINO,M,NR,0,Montelibano,NR,MERCADO,MERCADO,NEGATIVO
DM2,GATO41,FELINO,H,NR,0,Montelibano,NR,MERCADO,MERCADO,NEGATIVO
DM3,DOG42,CANINO,M,NR,0,Montelibano,NR,MERCADO,MERCADO,NEGATIVO
DM4,CAT43,FELINO,H,12,1,Montelibano,NR,MERCADO,MERCADO,NEGATIVO
DM5,CAT44,FELINO,M,10,1,Montelibano,NR,MERCADO,MERCADO,NEGATIVO
DM6,CAT39,FELINO,H,8,1,Montelibano,NR,TERMINAL,TERMINAL,NEGATIVO
DM7,CAT50,FELINO,H,12,1,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM8,DOG51,CANINO,M,4,1,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM9,CAT52,FELINO,M,12,1,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM10,NUCITA,CANINO,H,3,1,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM11,CAT54,FELINO,M,24,2,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM12,CAT55,FELINO,H,24,2,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DM13,CAT56,FELINO,H,6,1,Montelibano,NR,CAMINO CORRECTO,CAMINO CORRECTO,NEGATIVO
DL01,KATTY,CANINO,H ,216,5,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL02,JERRY ,FELINO,M,24,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL03,JUNIOR ,CANINO,M ,48,3,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL04,ESTRELLITA ,FELINO,H,24,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL05,LOLA ,FELINO,H,7,1,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL06,ABBYE ,CANINO,H,24,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL07,CALLEJERO ,FELINO,M,36,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL08,MONO ,FELINO,M ,36,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL09,LOLA ,FELINO,H ,24,2,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
DL10,TOBIAS ,CANINO,M,48,3,Lorica,NR,SAN PEDRO ,SAN PEDRO ,NEGATIVO
