municipio,hospital,fecha,nombre,periodo,zo,ubicación,Coordedas Geograficas,,tipobom,operador de la bomba (movil),idbom,hora de inicio,hora de filización,tiempo de muestreo (min),influencia,hbomba,distancia del paciente (m),edad,sexo,ventilacion mecanica,sintomatologia,signos,patologia base,frecuencia cardiaca,frecuencia respiratoria,saturacion de oxigeno (%),tension arterial,tratamiento farmologico,PM1,PM2,parti,HCOH,TVOC,AQI,T,H,viento,caudal,tipo de filtro,filtro,vt,rotulo de la muestra,pcr,v_t,aire_acond,ventiladores,vehiculos,polvo
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,11.7,14.3,2067,0.02,0.09,48,26,78,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,8.3,13.8,1721,0.02,0.09,34,28,72,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,9.1,15,1655,0.02,0.09,36,28,71,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,8.5,13.8,1571,0.02,0.09,33,28,71,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,8,13.6,1643,0.02,0.09,34,28,70,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Montelibano,Local de Montelibano,09/03/2021,Exterior,2,no critica,EXT,798.623,-75.413.725,Fija,,bom1,8:37,11:37,180,,0.96,,,,,,,,,,,,,8.5,13.6,1391,0.02,0.09,33,28,70,5.8,5.81,Nitrocelulosa,0.22,1043,MB1,0,si,no,no,si,si
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,10,17.5,1691,0.02,0.09,41,29,66,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,10.5,17.7,1637,0.02,0.09,41,35,55,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,10.2,16.8,1491,0.02,0.09,36,38,49,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
Monteria,San Jeronimo,20/01/2021,Exterior,2,no critica,EXT,8.747.378,-75.879.885,Fija,,bom3,9:02,12:02,180,,1.3,,,,,,,,,,,,,7,11.4,1367,0.02,0.09,36,39,43,11.2,4,Nitrocelulosa,0.22,,MO3,0,si,no,no,si,si
